parDenominacion,vot_parCodigo,vot_proCodigoProvincia
PARTIDO POPULAR,01121,21
PARTIDO AUTONOMISTA,01126,21
MOVIMIENTO AL SOCIALISMO,00952,01
UNIR,01019,06
FRENTE NOS,01135,21
UNITE POR LA LIBERTAD Y LA DIGNIDAD,01149,22
JUNTOS POR EL CAMBIO,01164,24
MOVIMIENTO AL SOCIALISMO,01081,16
FRENTE NOS,01139,21
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,01148,22
MOVIMIENTO DE ACCION VECINAL,00996,04
MOVIMIENTO AL SOCIALISMO,01029,08
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01095,18
JUNTOS POR EL CAMBIO,01113,20
PARTIDO AUTONOMISTA,01129,21
FRENTE NOS,01140,21
MOVIMIENTO DE JUBILADOS Y JUVENTUD,00957,01
FRENTE RENOVADOR AUTENTICO,00962,01
FRENTE NOS,01133,21
MOVIMIENTO AL SOCIALISMO,01052,11
FRENTE NOS,01134,21
MOVIMIENTO AL SOCIALISMO,01057,12
MOVIMIENTO AL SOCIALISMO,01107,20
PARTIDO AUTONOMISTA,01128,21
PARTIDO AUTONOMISTA,01127,21
PARTIDO POPULAR,00982,03
UNIR,01059,12
PARTIDO AUTONOMISTA,01125,21
