codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00994,00986,00995,00987,00992,00993,00983,00985,00989,00984,00991,00990,00988,00996
04,009,MARCOS JUÁREZ,01668,050590,0,0,7,175,17,46,9,0,0,3,1,2,0,0,0,1,0
04,001,CAPITAL,01479,047757,0,0,0,174,33,23,17,1,3,4,18,12,1,1,0,0,0
04,001,CAPITAL,01515,048710,0,0,10,174,21,33,7,1,3,8,5,1,1,2,0,0,0
04,001,CAPITAL,01507,048568,0,0,8,173,29,13,6,2,3,5,10,6,0,0,0,0,0
04,020,SAN JUSTO,01880,052767,0,0,0,172,26,29,10,4,3,5,10,6,1,2,0,1,1
04,001,CAPITAL,01479,047742,0,0,2,171,53,18,9,0,4,7,25,10,0,3,0,0,0
04,001,CAPITAL,01515,048707,0,0,2,171,33,20,11,1,0,8,6,11,3,0,1,0,1
04,019,SAN JAVIER,01877,052740,0,0,0,17,171,13,3,3,0,2,0,0,0,0,0,1,0
04,001,CAPITAL,01513,048686,0,0,3,170,37,26,9,0,7,4,15,4,1,1,0,1,0
04,009,MARCOS JUÁREZ,01668,050591,0,0,7,170,20,39,16,2,1,0,0,3,4,0,0,1,1
04,001,CAPITAL,01479,047749,0,0,5,169,37,22,4,1,2,11,20,9,2,0,1,0,0
04,001,CAPITAL,01479,047755,0,0,6,169,39,19,13,2,5,11,13,14,0,0,0,0,0
04,001,CAPITAL,01507,048558,0,0,2,169,23,18,9,7,0,4,7,6,1,2,1,0,0
04,001,CAPITAL,01513,048689,0,0,10,169,24,26,5,2,1,8,16,6,1,0,2,0,0
04,026,UNIÓN,02010,054140,0,0,3,50,169,21,7,1,0,3,0,0,0,1,1,0,0
04,001,CAPITAL,01507,048561,0,0,5,167,18,33,8,1,2,6,17,6,1,1,0,0,0
04,009,MARCOS JUÁREZ,01668,050587,0,0,6,167,24,39,10,0,0,2,0,2,1,1,0,0,0
04,020,SAN JUSTO,01880,052769,0,0,6,167,16,44,18,0,0,3,5,8,0,0,0,0,0
04,001,CAPITAL,01479,047754,0,0,8,166,47,23,8,1,3,8,16,5,3,2,0,0,0
04,009,MARCOS JUÁREZ,01668,050589,0,0,4,166,12,44,25,0,1,4,0,10,2,0,0,0,0
04,001,CAPITAL,01515,048708,0,0,6,165,25,26,6,2,3,14,13,9,2,0,0,0,1
04,001,CAPITAL,01516,048746,0,0,1,165,28,36,3,1,2,8,3,8,2,0,0,0,0
04,020,SAN JUSTO,01922,053218,0,0,3,165,28,42,18,0,2,6,0,6,1,0,0,1,0
04,001,CAPITAL,01513,048685,0,0,3,164,25,29,11,1,3,10,12,1,1,0,0,0,1
04,013,RÍO CUARTO,01756,051694,0,0,9,164,27,21,24,2,3,10,4,4,1,1,0,1,2
04,001,CAPITAL,01479,047748,0,0,11,163,38,16,9,3,3,7,14,11,0,1,1,0,2
04,001,CAPITAL,01513,048694,0,0,1,163,23,20,7,0,2,10,11,9,3,0,0,0,0
04,001,CAPITAL,01516,048741,0,0,2,163,21,26,15,1,5,12,7,1,2,0,0,1,1
04,001,CAPITAL,01415,045941,0,0,5,162,21,24,9,2,2,0,10,9,1,0,0,0,0
04,001,CAPITAL,01479,047743,0,0,3,162,32,26,13,5,4,8,15,7,1,0,0,0,1
04,001,CAPITAL,01507,048562,0,0,1,162,16,25,10,1,3,8,13,12,3,1,0,0,1
04,001,CAPITAL,01513,048675,0,0,8,162,32,21,7,0,6,5,16,2,0,3,0,0,0
04,001,CAPITAL,01507,048560,0,0,1,161,29,26,5,3,2,9,9,8,0,1,0,0,0
04,001,CAPITAL,01507,048565,0,0,1,161,17,16,7,0,6,7,15,6,1,1,0,0,0
04,001,CAPITAL,01512,048669,0,0,1,161,32,29,9,2,3,9,8,11,1,0,0,0,0
04,003,COLÓN,01551,049043,0,0,10,161,38,28,10,1,3,5,4,8,2,1,0,0,0
04,023,TERCERO ARRIBA,01961,053668,0,0,2,161,14,45,8,0,2,5,4,9,1,0,1,0,0
04,001,CAPITAL,01425,046181,0,0,161,28,33,0,2,0,0,11,5,0,0,0,2,0,0
04,001,CAPITAL,01415,045953,0,0,5,160,26,35,8,2,0,8,7,8,2,0,0,0,1
04,001,CAPITAL,01419,046066,0,0,2,160,25,32,6,1,1,5,25,10,2,0,0,0,0
04,001,CAPITAL,01513,048673,0,0,7,160,22,21,10,1,1,5,20,9,1,0,0,0,0
04,001,CAPITAL,01515,048717,0,0,9,160,31,26,7,2,4,5,5,4,4,1,0,0,1
04,001,CAPITAL,01516,048742,0,0,6,160,22,28,5,1,0,14,9,8,2,1,0,0,1
04,001,CAPITAL,01513,048680,0,0,12,159,21,22,4,3,7,5,19,8,1,2,0,0,0
04,001,CAPITAL,01513,048681,0,0,8,159,33,30,13,2,5,5,7,7,1,0,1,0,0
04,003,COLÓN,01555,049205,0,0,9,159,21,44,8,1,7,9,2,5,1,0,0,0,0
04,001,CAPITAL,01507,048557,0,0,3,158,23,24,8,5,4,10,12,7,0,0,0,0,0
04,001,CAPITAL,01507,048563,0,0,2,158,21,29,7,2,3,6,12,5,4,1,0,1,1
04,001,CAPITAL,01513,048688,0,0,8,158,29,34,13,1,2,5,12,6,0,0,1,0,1
04,005,GENERAL ROCA,01603,049851,0,0,3,158,19,34,20,1,4,1,1,6,5,0,1,0,0
04,013,RÍO CUARTO,01756,051698,0,0,10,158,26,34,19,4,1,6,3,4,2,0,0,1,1
04,001,CAPITAL,01513,048678,0,0,8,157,29,30,8,1,5,9,7,11,0,1,0,0,1
04,001,CAPITAL,01515,048712,0,0,0,157,25,30,7,2,0,8,5,8,2,0,0,0,0
04,009,MARCOS JUÁREZ,01668,050586,0,0,13,157,23,54,11,1,1,0,1,2,1,1,0,0,1
04,016,RÍO SEGUNDO,01826,052345,0,0,13,157,10,44,5,1,3,2,10,7,2,0,0,0,4
04,024,TOTORAL,01975,053895,0,0,0,157,15,35,3,1,0,2,1,5,1,0,0,0,0
04,001,CAPITAL,01410,045797,0,0,5,156,34,40,12,5,1,11,5,4,2,1,0,0,0
