codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01290,01285,01289,01280,01284,01288,01283,01281,01291,01286,01282,01287
01,014,COMUNA 14,00149,006503,0,0,3,200,13,5,12,8,1,9,0,0,0,0,0
01,014,COMUNA 14,00150,006551,0,0,5,200,28,7,15,9,2,3,0,0,0,0,0
01,001,COMUNA 01,00005,000123,0,0,7,199,14,1,6,10,0,14,0,0,0,0,0
01,013,COMUNA 13,00141,006121,0,0,4,199,33,7,9,6,0,1,0,0,0,0,0
01,014,COMUNA 14,00149,006530,0,0,9,199,24,3,4,5,4,3,3,0,0,0,0
01,001,COMUNA 01,00005,000105,0,0,5,198,24,1,15,11,3,6,0,0,0,0,1
01,001,COMUNA 01,00005,000107,0,0,8,198,28,3,10,3,1,2,1,0,0,0,0
01,002,COMUNA 02,00020,000558,0,0,12,198,16,3,4,5,0,11,1,0,0,1,0
01,013,COMUNA 13,00141,006098,0,0,3,198,35,4,11,11,2,2,1,0,0,0,0
01,013,COMUNA 13,00141,006099,0,0,7,198,30,6,13,2,2,2,3,0,0,0,0
01,014,COMUNA 14,00147,006423,0,0,7,198,50,0,14,8,1,4,2,2,0,1,0
01,014,COMUNA 14,00148,006491,0,0,10,198,33,5,20,6,5,0,2,0,0,1,0
01,014,COMUNA 14,00149,006529,0,0,10,198,15,1,6,12,2,7,2,0,0,0,0
01,014,COMUNA 14,00149,006533,0,0,7,198,26,1,8,6,2,4,3,0,0,0,0
01,013,COMUNA 13,00141,006076,0,0,3,197,25,6,7,9,0,6,1,0,1,0,0
01,014,COMUNA 14,00149,006508,0,0,10,197,19,3,19,8,7,3,0,0,1,1,1
01,014,COMUNA 14,00150,006559,0,0,3,197,35,8,17,6,0,1,1,0,1,0,0
01,002,COMUNA 02,00025,000776,0,0,5,196,37,7,8,11,0,6,1,0,0,0,0
01,002,COMUNA 02,00025,000784,0,0,9,196,27,4,7,4,0,13,0,0,0,0,0
01,013,COMUNA 13,00141,006126,0,0,4,196,39,3,18,4,1,2,0,0,0,0,0
01,013,COMUNA 13,00141,006127,0,0,1,196,36,4,10,7,1,2,0,0,2,0,0
01,014,COMUNA 14,00148,006444,0,0,6,196,35,9,14,7,1,5,1,0,0,0,0
01,014,COMUNA 14,00149,006511,0,0,7,196,25,6,7,12,0,2,0,0,0,0,0
01,014,COMUNA 14,00149,006517,0,0,11,195,16,2,7,5,0,7,1,0,0,0,0
01,001,COMUNA 01,00005,000133,0,0,4,194,27,4,5,6,2,10,0,0,0,1,0
01,013,COMUNA 13,00141,006096,0,0,9,194,30,3,6,5,1,5,1,0,0,0,0
01,013,COMUNA 13,00141,006102,0,0,4,194,27,2,13,6,4,6,0,0,0,0,0
01,014,COMUNA 14,00149,006520,0,0,4,194,13,2,10,10,2,10,2,0,0,0,0
01,014,COMUNA 14,00149,006522,0,0,10,194,23,1,9,10,1,1,1,1,0,0,0
01,014,COMUNA 14,00149,006536,0,0,5,194,20,3,10,6,0,4,0,0,0,1,0
01,014,COMUNA 14,00150,006573,0,0,5,194,30,8,12,8,0,0,0,0,1,0,0
01,002,COMUNA 02,00020,000557,0,0,8,193,17,3,8,4,2,5,0,0,0,0,0
01,013,COMUNA 13,00141,006072,0,0,6,193,29,3,11,5,0,1,2,0,2,0,0
01,013,COMUNA 13,00141,006134,0,0,13,193,28,6,7,10,2,2,3,0,0,0,0
01,014,COMUNA 14,00148,006454,0,0,6,193,25,5,18,5,2,2,2,0,0,1,0
01,014,COMUNA 14,00149,006502,0,0,12,193,29,2,7,5,1,1,0,0,0,0,0
01,014,COMUNA 14,00149,006509,0,0,7,193,22,3,4,7,2,3,0,0,0,1,0
01,014,COMUNA 14,00149,006537,0,0,8,193,24,5,13,4,0,5,0,0,2,0,0
01,014,COMUNA 14,00150,006554,0,0,9,193,35,4,8,6,1,4,1,0,0,0,0
