nombre,lista
FRENTE NOS,261
FRENTE NOS,266
FRENTE NOS,269
FRENTE NOS,263
FRENTE NOS,262
FRENTE NOS,267
FRENTE NOS,268
JUNTOS POR EL CAMBIO,274
FRENTE DE TODOS,276
ALTERNATIVA FEDERAL,277
PARTIDO AUTONOMISTA,281
PARTIDO AUTONOMISTA,280
PARTIDO AUTONOMISTA,278
PARTIDO AUTONOMISTA,282
PARTIDO AUTONOMISTA,279
UNION CELESTE Y BLANCA,283
PARTIDO POPULAR,285
PARTIDO DIGNIDAD POPULAR,286
JUNTOS POR EL CAMBIO,290
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,291
UNITE POR LA LIBERTAD Y LA DIGNIDAD,293
FRENTE DE TODOS,297
FRENTE DE TODOS,296
JUNTOS POR EL CAMBIO,299
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,300
CONSENSO FEDERAL,304
CONSENSO FEDERAL,302
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,309
