codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00005,000132,0,0,7,0,13,0,0,1,25,0,222,0,0,0,6
01,001,Comuna 01,00005,000133,0,0,7,0,9,0,0,2,25,0,210,0,0,0,7
01,001,Comuna 01,00005,000134,0,0,7,0,3,0,0,3,24,0,208,0,0,0,11
01,001,Comuna 01,00005,000135,0,0,8,0,5,0,0,3,23,0,207,0,0,0,6
01,001,Comuna 01,00005,000136,0,0,11,0,3,0,0,5,34,0,207,0,0,0,7
01,001,Comuna 01,00005,000137,0,0,6,0,8,0,0,6,37,0,213,0,0,0,2
01,001,Comuna 01,00005,000138,0,0,5,0,7,0,0,4,26,0,214,0,0,0,4
01,001,Comuna 01,00005,000139,0,0,2,0,6,0,0,7,25,0,211,0,0,0,9
01,001,Comuna 01,00005,000140,0,0,6,0,7,0,0,6,31,0,207,0,0,0,7
01,001,Comuna 01,00005,000141,0,0,3,0,4,0,0,1,21,0,215,0,0,0,7
01,001,Comuna 01,00005,000142,0,0,5,0,15,0,0,5,35,0,199,0,0,0,2
01,001,Comuna 01,00005,000143,0,0,7,0,9,0,0,10,25,0,208,0,0,0,5
01,001,Comuna 01,00005,000144,0,0,2,0,7,0,0,2,31,0,216,0,0,0,6
01,001,Comuna 01,00005,000145,0,0,5,0,5,0,0,3,26,0,223,0,0,0,8
01,001,Comuna 01,00005,098517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,001,Comuna 01,00006,000146,0,0,7,0,6,0,0,4,32,0,214,0,0,0,5
01,001,Comuna 01,00006,000147,0,0,6,0,5,0,0,1,38,0,199,0,0,0,5
01,001,Comuna 01,00006,000148,0,0,8,0,7,0,0,10,44,0,176,0,0,0,8
01,001,Comuna 01,00006,000149,0,0,8,0,14,0,0,13,41,0,187,0,0,0,9
01,001,Comuna 01,00006,000150,0,0,9,0,8,0,0,5,53,0,178,0,0,0,7
01,001,Comuna 01,00006,000151,0,0,7,0,7,0,0,6,42,0,181,0,0,0,7
01,001,Comuna 01,00006,000152,0,0,13,0,7,0,0,3,35,0,185,0,0,0,8
01,001,Comuna 01,00006,000153,0,0,6,0,8,0,0,9,38,0,189,0,0,0,5
01,001,Comuna 01,00006,000154,0,0,5,0,11,0,0,8,38,0,179,0,0,0,8
01,001,Comuna 01,00006,000155,0,0,1,0,6,0,0,5,43,0,189,0,0,0,7
01,001,Comuna 01,00006,000156,0,0,7,0,6,0,0,3,42,0,180,0,0,0,7
01,001,Comuna 01,00006,000157,0,0,7,0,9,0,0,4,48,0,165,0,0,0,7
01,001,Comuna 01,00006,000158,0,0,10,0,8,0,0,6,33,0,204,0,0,0,8
01,001,Comuna 01,00006,000159,0,0,11,0,8,0,0,3,40,0,189,0,0,0,2
01,001,Comuna 01,00006,000160,0,0,12,0,15,0,0,7,42,0,189,0,0,0,9
01,001,Comuna 01,00006,000161,0,0,1,0,8,0,0,3,44,0,193,0,0,0,6
01,001,Comuna 01,00006,000162,0,0,8,0,7,0,0,9,38,0,196,0,0,0,0
01,001,Comuna 01,00006,000163,0,0,5,0,5,0,0,3,38,0,194,0,0,0,4
01,001,Comuna 01,00006,000164,0,0,6,0,10,0,0,5,43,0,174,0,0,0,8
01,001,Comuna 01,00006,000165,0,0,9,0,11,0,0,5,51,0,173,0,0,0,6
01,001,Comuna 01,00006,000166,0,0,5,0,9,0,0,7,38,0,185,0,0,0,11
01,001,Comuna 01,00006,000167,0,0,3,0,12,0,0,2,39,0,183,0,0,0,8
01,001,Comuna 01,00006,000168,0,0,8,0,16,0,0,5,44,0,173,0,0,0,3
