codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01296,01297,01292,01301,01302,01295,01298,01304,01299,01293,01294,01300,01303
06,013,COMANDANTE FERNÁNDEZ ,02287,058420,0,0,0,172,0,57,0,0,0,1,0,1,4,0,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058111,0,0,4,171,12,59,0,1,0,0,0,0,3,9,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058112,0,0,4,171,2,62,0,0,0,0,2,1,5,3,1,0
06,010,SAN LORENZO ,02273,058149,0,0,11,171,9,0,0,0,0,0,2,1,6,12,0,1
06,015,25 DE MAYO,02299,058589,0,0,1,171,35,0,0,1,0,0,4,0,0,6,6,0
06,015,25 DE MAYO,02299,058599,0,0,6,171,26,39,1,0,0,0,0,1,3,0,2,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058065,0,0,19,170,42,32,1,0,0,0,1,0,2,3,3,0
06,012,O'HIGGINS,02284,058313,0,0,14,170,47,23,0,0,0,2,0,0,4,0,2,0
06,007,BERMEJO,02253,057969,0,0,11,169,36,40,0,0,0,0,0,0,1,2,5,1
06,007,BERMEJO,02253,057973,0,0,14,169,38,40,0,0,0,1,2,0,1,0,6,1
06,007,BERMEJO,02254,057978,0,0,0,169,11,51,3,2,0,1,3,1,5,1,7,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058091,0,0,0,169,28,56,5,1,0,0,2,1,4,0,2,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058105,0,0,0,169,13,52,0,0,0,0,1,0,1,5,3,0
06,005,SARGENTO CABRAL ,02247,057938,0,0,16,168,37,23,0,1,0,0,1,0,0,4,2,2
06,010,SAN LORENZO ,02273,058143,0,0,0,168,7,35,0,1,0,0,1,0,6,0,0,1
06,010,SAN LORENZO ,02273,058152,0,0,0,168,13,38,0,1,0,1,1,2,3,20,3,0
06,005,SARGENTO CABRAL ,02247,057945,0,0,14,167,40,33,0,1,0,0,0,0,6,3,3,0
06,007,BERMEJO,02254,057980,0,0,17,167,23,46,4,0,0,0,3,0,0,1,5,1
06,007,BERMEJO,02254,057983,0,0,0,0,167,61,0,2,26,2,1,0,5,2,5,2
06,007,BERMEJO,02254,057997,0,0,19,167,0,39,1,0,0,0,0,0,4,0,0,0
06,010,SAN LORENZO ,02273,058135,0,0,0,167,14,34,0,0,0,0,0,0,3,0,0,0
