codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01014,01012,01007,01017,01018,01010,01013,01011,01009,01015,01008,01016,01020,01019
06,004,GENERAL DONOVAN,2245,57921,0,0,0,44,177,28,0,0,0,0,0,2,0,2,1,0,0
06,024,ALMIRANTE BROWN,2326,58985,0,0,2,177,10,22,0,1,0,0,1,1,0,2,1,0,0
06,004,GENERAL DONOVAN,2245,57920,0,0,0,59,176,0,1,0,0,0,0,0,0,2,0,0,0
06,007,BERMEJO,2254,57985,0,0,18,176,21,45,2,0,0,0,3,4,0,4,5,3,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58114,0,0,0,176,8,43,0,0,0,0,0,2,43,1,8,0,0
06,005,SARGENTO CABRAL ,2247,57942,0,0,0,175,46,25,0,1,0,3,2,1,1,5,1,4,1
06,010,SAN LORENZO ,2273,58161,0,0,0,175,12,20,0,0,0,0,0,15,1,1,1,1,0
06,015,25 DE MAYO,2299,58594,0,0,6,175,32,37,1,1,0,0,0,5,0,8,2,2,2
06,003,LIBERTAD,2242,57916,0,0,8,174,48,14,0,1,0,1,1,5,0,0,1,0,1
06,003,LIBERTAD,2242,57917,0,0,0,174,37,16,2,0,0,1,2,3,0,3,2,0,0
06,010,SAN LORENZO ,2273,58145,0,0,19,174,9,21,0,0,0,0,1,7,0,2,6,7,0
06,010,SAN LORENZO ,2273,58162,0,0,11,174,8,29,0,0,0,0,1,7,0,2,1,1,2
06,004,GENERAL DONOVAN,2246,57923,0,0,20,173,36,50,0,0,0,0,1,2,0,3,4,1,2
06,010,SAN LORENZO ,2273,58140,0,0,4,173,7,52,0,0,0,0,0,15,0,1,2,4,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58109,0,0,2,172,8,56,1,0,0,0,0,2,0,3,10,0,0
06,010,SAN LORENZO ,2273,58137,0,0,4,172,7,32,0,1,0,0,0,10,0,2,2,3,2
06,016,MAIPÚ,2303,58665,0,0,0,172,29,25,0,2,0,1,0,5,0,0,3,0,0
06,005,SARGENTO CABRAL ,2247,57943,0,0,15,171,37,38,1,1,0,0,1,3,0,3,2,0,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58111,0,0,4,171,10,58,0,1,0,0,0,9,0,3,0,0,0
06,010,SAN LORENZO ,2273,58155,0,0,6,171,8,30,0,0,0,1,0,9,0,0,2,0,1
06,012,O'HIGGINS,2284,58313,0,0,16,171,44,23,0,0,0,2,0,0,0,4,2,0,0
06,015,25 DE MAYO,2299,58589,0,0,1,171,34,3,0,1,0,0,8,6,0,0,6,0,0
06,007,BERMEJO,2253,57973,0,0,13,170,38,40,0,0,0,1,0,0,0,1,6,2,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,2265,58112,0,0,6,170,1,64,0,0,0,0,0,3,1,3,1,2,0
06,010,SAN LORENZO ,2273,58149,0,0,2,170,9,0,0,0,0,0,1,12,1,0,0,2,1
06,015,25 DE MAYO,2299,58599,0,0,6,170,26,40,1,0,0,0,0,0,1,1,2,0,1
06,007,BERMEJO,2254,57983,0,0,0,0,169,42,0,2,26,2,0,2,0,0,5,1,2
06,008,LIBERTADOR GRAL. SAN MARTÍN,2263,58094,0,0,12,169,35,40,3,0,0,1,0,3,0,2,6,2,2
