codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00139,00146,00148,00136,00137,00138,00142,00143,00140,00144,00141,00145,00147,00149,00150
06,001,San Fernando,2270,56254,0,0,21,192,76,4,4,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2277,56344,0,0,8,192,79,9,1,0,0,0,0,0,0,0,0,0,0,0
06,006,Presidencia de la  Plaza,2292,56473,0,0,8,192,58,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2306,56565,0,0,1,192,79,0,0,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2308,56584,0,0,2,192,70,9,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56691,0,0,1,192,37,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,2320,56752,0,0,3,192,53,5,16,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2320,56753,0,0,0,192,44,8,15,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56934,0,0,12,192,57,3,4,0,0,0,0,0,0,0,0,0,0,0
06,021,12 de Octubre,2373,57705,0,0,5,192,63,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,023,Fray Justo Sta. María de Oro,2376,57735,0,0,2,192,53,4,20,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2383,57900,0,0,9,192,62,4,4,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2385,57941,0,0,5,192,16,1,2,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55309,0,0,11,58,191,12,7,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55312,0,0,7,49,191,14,2,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2243,55426,0,0,11,191,60,17,7,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2288,56435,0,0,0,191,65,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2289,56444,0,0,6,191,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56498,0,0,12,191,51,12,4,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56519,0,0,16,191,64,8,2,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56520,0,0,0,191,75,7,6,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56532,0,0,9,191,64,8,4,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2308,56637,0,0,2,191,76,10,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2310,56661,0,0,0,191,65,9,2,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56680,0,0,4,191,27,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,016,Maipú,2354,57384,0,0,8,191,41,4,7,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55303,0,0,6,53,190,11,6,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55306,0,0,6,55,190,13,8,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2237,55318,0,0,13,48,190,5,5,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2238,55334,0,0,11,43,190,15,4,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2286,56413,0,0,4,190,75,9,5,0,0,0,0,0,0,0,0,0,0,0
