codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00026,00032,00034,00023,00024,00025,00030,00027,00029,00028,00031,00033,00035,00036
06,004,General Donovan,02284,056394,0,0,12,199,54,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02320,056736,0,0,5,199,57,6,6,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02350,057293,0,0,8,199,57,10,7,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057433,0,0,4,199,38,6,14,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057475,0,0,1,199,48,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02243,055439,0,0,10,198,50,17,3,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02287,056425,0,0,16,198,57,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02288,056431,0,0,5,198,60,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02297,056509,0,0,16,198,56,8,4,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056529,0,0,14,198,52,11,6,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056670,0,0,7,198,54,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056679,0,0,0,198,27,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02321,056759,0,0,8,198,42,5,4,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057348,0,0,0,198,45,1,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057353,0,0,0,198,36,4,1,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057434,0,0,4,198,46,7,3,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057440,0,0,10,198,41,2,11,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057490,0,0,5,198,60,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02239,055351,0,0,5,63,197,14,2,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02277,056341,0,0,17,197,76,13,8,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02277,056352,0,0,17,197,66,8,7,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02279,056367,0,0,0,197,34,5,1,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02283,056375,0,0,14,197,74,4,4,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02285,056403,0,0,3,197,54,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056688,0,0,1,197,46,6,3,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056693,0,0,2,197,52,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02330,056927,0,0,4,197,56,2,3,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057356,0,0,6,197,45,0,1,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057441,0,0,7,197,41,9,12,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057494,0,0,2,197,49,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057835,0,0,1,197,37,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057836,0,0,2,197,50,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02236,055300,0,0,6,46,196,13,6,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02270,056254,0,0,17,196,75,4,4,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02297,056500,0,0,10,196,41,6,3,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056522,0,0,3,196,80,8,4,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056683,0,0,0,196,41,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02320,056727,0,0,7,196,30,3,19,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02332,056951,0,0,3,196,32,4,3,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057503,0,0,11,196,50,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057882,0,0,4,196,44,4,9,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02237,055321,0,0,5,58,195,11,2,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02243,055438,0,0,13,195,50,19,12,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02284,056392,0,0,3,195,58,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02286,056408,0,0,3,195,53,7,4,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02297,056510,0,0,0,195,50,14,4,0,0,0,0,0,0,0,0,0,0
