codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0050,0061,0064,0160,0515,0523
13,Capital,001,0018A,0187,336,3,8,NA,NA,1,2,NA,NA,NA,NA,NA
13,Capital,001,0018A,0188,336,0,0,NA,NA,6,4,NA,NA,NA,NA,NA
13,Capital,001,0018A,0189,336,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0018A,0190,336,0,0,NA,NA,4,8,NA,NA,NA,NA,NA
13,Capital,001,0018A,0191,336,1,3,NA,NA,8,4,NA,NA,NA,NA,NA
13,Capital,001,0018A,0192,336,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0018B,0193,336,3,4,NA,NA,21,31,NA,NA,NA,NA,NA
13,Capital,001,0018B,0194,336,1,0,NA,NA,20,31,NA,NA,NA,NA,NA
13,Capital,001,0018B,0195,336,8,3,NA,NA,19,31,NA,NA,NA,NA,NA
13,Capital,001,0018B,0196,336,0,4,NA,NA,20,36,NA,NA,NA,NA,NA
13,Capital,001,0018B,0197,336,6,5,NA,NA,19,28,NA,NA,NA,NA,NA
13,Capital,001,0018B,0198,336,5,3,NA,NA,22,36,NA,NA,NA,NA,NA
13,Capital,001,0018B,0199,336,32,2,NA,NA,26,45,NA,NA,NA,NA,NA
13,Capital,001,0018B,0200,336,6,2,NA,NA,15,28,NA,NA,NA,NA,NA
13,Capital,001,0018B,0201,335,6,6,NA,NA,17,28,NA,NA,NA,NA,NA
13,Capital,001,0018B,0202,335,9,6,NA,NA,21,34,NA,NA,NA,NA,NA
13,Capital,001,0018B,0203,335,0,4,NA,NA,19,53,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0204,331,2,1,NA,NA,13,31,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0205,331,11,5,NA,NA,14,28,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0206,331,6,2,NA,NA,22,31,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0207,331,1,8,NA,NA,17,23,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0208,331,7,6,NA,NA,12,21,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0209,331,12,3,NA,NA,20,29,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0210,331,3,8,NA,NA,14,28,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0211,331,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0212,331,3,9,NA,NA,14,20,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0213,331,8,10,NA,NA,17,23,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0214,331,0,0,NA,NA,21,26,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0215,331,0,0,NA,NA,3,5,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0216,330,1,3,NA,NA,12,34,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0217,330,5,6,NA,NA,20,28,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0218,330,4,5,NA,NA,10,26,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0219,330,9,7,NA,NA,18,30,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0220,330,4,12,NA,NA,20,21,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0221,330,0,8,NA,NA,11,29,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0222,330,8,2,NA,NA,11,23,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0223,330,15,10,NA,NA,17,26,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0224,330,0,3,NA,NA,18,22,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0225,330,0,0,NA,NA,19,31,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0226,330,8,1,NA,NA,17,36,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0227,330,14,8,NA,NA,14,28,NA,NA,NA,NA,NA
13,Capital,001,0019 ,0228,330,2,4,NA,NA,18,18,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0229,334,3,2,NA,NA,8,16,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0230,334,2,24,NA,NA,15,12,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0231,334,10,4,NA,NA,10,25,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0232,334,0,3,NA,NA,15,21,NA,NA,NA,NA,NA
