codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00115,00118,00120,00119,00112,00121,00125,00114,00113,00117,00116,00122,00123,00124
04,016,Río Segundo,1870,51187,0,0,8,196,14,39,7,3,11,6,0,0,0,0,0,0,0
04,001,Capital,1555,47539,0,0,5,195,28,33,9,8,4,2,0,0,0,0,0,0,0
04,001,Capital,1562,47640,0,0,2,195,27,38,7,7,4,4,0,0,0,0,0,0,0
04,008,Juárez Celman,1691,49234,0,0,10,195,21,46,7,2,10,2,0,0,0,0,0,0,0
04,009,Marcos Juárez,1710,49422,0,0,3,195,19,40,2,0,14,4,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50554,0,0,6,195,28,42,6,0,11,2,0,0,0,0,0,0,0
04,013,Río Cuarto,1799,50716,0,0,5,195,19,42,1,2,6,1,0,0,0,0,0,0,0
04,016,Río Segundo,1870,51167,0,0,7,195,31,43,2,7,12,3,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52464,0,0,9,195,33,27,7,2,8,1,0,0,0,0,0,0,0
04,001,Capital,1457,44814,0,0,3,194,30,41,5,8,2,6,0,0,0,0,0,0,0
04,001,Capital,1536,47041,0,0,6,194,63,0,4,5,2,2,0,0,0,0,0,0,0
04,001,Capital,1549,47412,0,0,4,194,17,25,7,13,6,3,0,0,0,0,0,0,0
04,003,Colón,1593,47885,0,0,5,194,28,30,3,2,8,10,0,0,0,0,0,0,0
04,003,Colón,1593,47911,0,0,8,194,43,21,1,5,10,3,0,0,0,0,0,0,0
04,008,Juárez Celman,1691,49244,0,0,0,194,20,33,4,3,8,9,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50525,0,0,1,194,37,42,9,3,11,2,0,0,0,0,0,0,0
04,016,Río Segundo,1870,51170,0,0,7,194,26,44,1,9,6,0,0,0,0,0,0,0,0
04,001,Capital,1457,44813,0,0,1,193,30,31,11,6,2,2,0,0,0,0,0,0,0
04,001,Capital,1492,45660,0,0,2,193,29,55,13,5,3,6,0,0,0,0,0,0,0
04,001,Capital,1503,45959,0,0,4,193,28,33,7,14,9,4,0,0,0,0,0,0,0
04,001,Capital,1555,47522,0,0,4,193,29,23,6,16,6,2,0,0,0,0,0,0,0
04,001,Capital,1558,47569,0,0,3,193,31,23,10,7,10,4,0,0,0,0,0,0,0
04,001,Capital,1562,47641,0,0,7,193,21,38,11,2,5,3,0,0,0,0,0,0,0
04,001,Capital,1492,45649,0,0,1,192,41,34,7,2,11,0,0,0,0,0,0,0,0
04,001,Capital,1549,47402,0,0,0,192,13,28,7,10,5,6,0,0,0,0,0,0,0
04,001,Capital,1549,47410,0,0,0,192,23,29,8,14,3,7,0,0,0,0,0,0,0
04,001,Capital,1555,47532,0,0,7,192,33,30,10,8,4,3,0,0,0,0,0,0,0
04,001,Capital,1557,47565,0,0,5,192,29,31,5,10,9,4,0,0,0,0,0,0,0
04,003,Colón,1592,47856,0,0,7,192,49,44,8,8,7,7,0,0,0,0,0,0,0
04,003,Colón,1593,47929,0,0,4,192,40,35,2,6,10,0,0,0,0,0,0,0,0
04,003,Colón,1605,48316,0,0,2,192,26,33,8,12,6,9,0,0,0,0,0,0,0
04,001,Capital,1447,44541,0,0,2,191,24,38,10,6,5,4,0,0,0,0,0,0,0
04,001,Capital,1549,47409,0,0,5,191,16,23,10,13,3,5,0,0,0,0,0,0,0
04,001,Capital,1549,47418,0,0,4,191,22,24,13,7,5,1,0,0,0,0,0,0,0
04,003,Colón,1593,47889,0,0,2,191,43,26,10,6,6,5,0,0,0,0,0,0,0
04,003,Colón,1597,48045,0,0,5,191,24,46,4,0,9,4,0,0,0,0,0,0,0
04,012,Punilla,1755,49887,0,0,4,191,26,48,2,1,4,4,0,0,0,0,0,0,0
04,020,San Justo,1964,52032,0,0,5,191,45,42,5,0,11,4,0,0,0,0,0,0,0
